DIC,TPN,HCO3,TN,Mg,Si,TP,TSSD,Na,TOC,UV280,TDS,Fe,SO4,CO3,UV250,specificConductance,TDP,NO3NO2,Cl,NH4,K,PH,NO2,OrthoP,Mn,TPC,DOC,F,ANC,TDN,Ca,Br,TSS
57.4,0.1,302.6,0.1,20.1,17.1,0.1,100,25.8,2.2,0,385.4,0,13.1,0,0.1,548.8,0.1,0,8.5,0.1,1.8,7.5,0,0.1,0.1,0.6,2.2,0.7,5.1,0.2,53.2,0,1
61.4,0,310.6,0.2,20.7,17,0,200,26.5,2.1,0,395.5,0,13.5,0,0.1,572.2,0,0,9.4,0,1.8,8.2,0,0,0.1,0.3,2.2,0.7,5.4,0.2,55.2,0,2
62.5,0.1,314.9,0.2,21.1,17.2,0.1,100,26.5,2.1,0,403.2,0,14.2,0,0.1,583.7,0.1,0,9.8,0,1.8,8.1,0,0,0.2,0.3,2.2,0.7,5.6,0.2,56.4,0,2
63.8,0.1,275,0.1,18.9,15.4,0.1,100,22.9,1.9,0,358.2,0,14.1,0,0.1,591.3,0,0,10,0,1.6,7.7,0,0,0.2,0.3,2.1,0.7,4.7,0.2,50.2,0,2
67.3,0.2,256.1,0.1,23.8,6.6,0.1,233.3,27.8,2.1,0,344.4,0,17.2,0,0.1,493.4,0,0,12.6,0.1,2.2,7.8,0,0.1,0,1.3,2.3,0.7,4.6,0.1,36,0,4.7
74,0.1,334.6,0.2,21.2,15.8,0.1,300,26,1.9,0.1,435.6,0.3,16.5,0,0.1,618.3,0,0,12.2,0.1,1.9,7.4,0,0,0.4,0.5,1.9,0.6,6.1,0.2,64.6,0,6
15.8,0.1,95.6,5.7,7.8,9.1,1.1,58200,4,30.4,2.1,131.2,0.6,5.9,0,2.7,186.4,0.6,2.1,9.5,0.1,5,7.2,0.1,0.9,0,0.3,20.4,0,1.7,3.9,20.6,0,1164
37,0.1,226.4,2.3,18,12.4,0.7,10300,4.7,26.3,0.7,272.1,0,5.5,0,1,390.9,0.5,0,4.5,0.2,7,7.4,0,0.6,0,0.3,24.2,0,4,1.6,41,0,206
38.1,0.1,211.6,1.5,16.4,13.9,0.4,800,10.1,14,0.3,279.5,0,19.3,0,0.5,398.5,0.3,0.5,9.3,0,5.4,7.7,0.2,0.4,0,0.4,14.9,0,3.6,1.3,44,0,16
85.7,0.1,305.6,5,34.2,18.7,0.3,700,27.8,6.8,0.2,439.3,0,45.7,0,0.2,625.9,0.2,5.1,11.1,0.2,4.8,7.5,0.1,0.1,0,0.4,6.7,1.4,5.2,5.1,43.2,0,14
87.6,0.1,402.1,3.8,32.4,16.8,0.2,200,27.2,6.6,0.2,540.6,0,35.1,0,0.2,775.6,0.2,3.7,10.7,0.2,4.7,7.4,0.1,0.2,0,0.4,6.6,1.5,6.8,3.6,74.1,0,4
97.4,0.1,362.5,0.9,35.4,13.2,0.2,1100,29.1,7.9,0.2,483.7,0,25.6,0,0.3,689.4,0.2,0.3,14.5,0,4.7,7.8,0,0.2,0,0.5,8.4,0,6,0.5,50.9,0,22
111.7,0.1,548.2,1.7,38.6,13,0.7,500,32,10.2,0.2,670.2,0,5.6,0,0.3,958.5,0.1,0,9.6,0.5,5.5,7.8,0,0.3,1.7,0.7,10.5,3.8,9.1,1.3,96.6,0,10
91,0.1,497.2,5.9,35.4,11.6,1.1,7000,29.2,13.9,0.4,617.5,0,6.1,0,0.5,880.2,0,0.2,7.9,2.4,6.8,7.9,0.1,0.5,0,0.5,13.7,3.6,8.5,5.1,85.8,0,140
96.6,0.1,323.6,2.7,35.3,11.7,0.3,2100,27.1,8.2,0.2,493.2,0,20,0,0.2,696.3,0.3,0,15.9,1.2,4.3,8,0.1,0.1,0,0.3,7.9,0,5.4,2.2,50.4,0,42
56.5,0,288.5,2.7,21.8,14.1,0.2,600,21.2,5.2,0.1,395.7,0,24.3,0,0.2,561.3,0.1,3.2,8.4,0.1,1.9,8.1,0,0.1,0,0.3,5.5,1.4,4.8,2.6,55,0,12
55.6,0.1,319.5,3.9,22.8,13.9,0.1,500,22.4,5.3,0.1,414.3,0,25.5,0,0.2,590.3,0.1,4,3.8,0.1,2,8,0.1,0.1,0,0.3,5.5,0.7,5.9,3.7,60.2,0,10
28.3,0.1,141.5,1,11.3,11.5,0.4,1200,9.7,6.1,0.1,198.6,0,11.5,0,0.2,285.4,0,0.7,9.4,0.1,1,8.1,0.1,0.1,0,0.3,6,0.7,3.6,0.8,29.2,0,24
19.5,0.1,133.4,1.1,10.9,5.4,0.4,6466.7,10.2,6.9,0.2,166.1,0,12.4,0,0.2,238,0.1,0.8,1.6,0.1,1.5,7.9,0,0.1,0,0.4,6.8,0.8,2.5,1.1,18,0,129.3
18.2,0.1,97.1,1,6.6,10,0.8,8300,5.9,6.7,0.2,125.5,0,7,0,0.2,180.2,0,0.6,1.4,0.1,0.9,8,0,0.1,0,0.4,6.8,0.3,1.6,1,19.2,0,166
26,0.1,133.2,0.8,9.2,11.6,0.3,1200,8.5,5.6,0,177.7,0,9.6,0,0,255.6,0,0.6,4,0.1,0.9,8.2,0,0.1,0,0.3,5.6,1.2,2.7,0.8,27.7,0,24
13.8,0.1,70.2,1.3,4.7,8.2,2.3,44000,4.7,19.1,0.2,98.6,0,5.1,0,0.3,139.8,0.1,0.2,4.9,0.1,1,7.9,-0.1,0.1,0,0.4,8,0.1,1.3,0.6,15.3,0,880
32.6,0.1,152.8,0.7,11.4,13,0.1,266.7,10.6,4.5,0.1,217.7,0,11.6,0,0.1,310,0.1,0.5,7.3,0.1,1,8.2,-0.1,0.1,0,0.3,4.4,2.7,3,0.7,33.4,0,5.3
39.8,0.1,189.9,0.6,14.6,14.2,0.2,100,14.3,3.7,0.1,265.7,0,14.6,0,0.1,375.3,0.1,0.4,9.7,0,1.1,8.3,-0.1,0.1,0,0.5,3.8,0.9,4.2,0.6,37.5,0,2
56,0.1,280.5,0.4,20,12.3,0.1,200,19,3.5,0.1,358.4,0,17.7,0,0.2,508.6,0,0.1,1.9,0,1.2,8.2,-0.1,0,0,0.6,3.6,0.6,4.8,0.3,51,0.2,4
55.5,0.2,303.5,0.3,21.5,12.1,0.1,500,22,3.2,0.1,381,0,18.6,0,0.1,546.3,0,0,1.9,0,1.3,8.4,-0.1,0,0,0.6,3.5,0,5.1,0.2,52.4,0,10
61.5,0.2,294.6,0.3,21.6,13.2,0.1,600,22.8,3,0.1,383.7,0,18.1,0,0.1,546.1,0,0.1,7.6,0.1,1.4,8.2,-0.1,0,0,0.4,12.8,0.9,5,0.2,52.6,0,12
61.2,0.1,309,0.4,22.6,15.8,0.2,100,23.5,3,0,404.3,0,20,0,0.1,576.5,0.1,0,7.3,0,1.5,8,-0.1,0,0,0.6,7.1,1,6.1,0.4,56.2,0,2
61.7,0.1,283.8,0.4,20.5,15.2,0.3,0,20.8,3.1,0,368.1,0,18.1,0,0.1,524.8,0.1,0.2,3.8,0,1.4,8,-0.1,0.1,0,0.4,3.4,0,5.4,0.4,51.6,0,0
62.4,0.1,226.5,0.2,19.3,15.2,0.3,0,19.8,2.8,0.1,347.1,0,45.5,0,0.1,495.1,0.1,0.1,8.1,0.1,1.4,7.9,0,0,0,0.5,2.7,1.3,3.9,0.2,49,0,0
67.7,0.1,285.7,0.2,19.8,16.1,0.1,0,21.6,2.6,0.1,373.2,0,16.4,0,0.1,532.4,0.1,0,8.2,0,1.6,7.4,0,0.1,0,0.3,2.7,1.4,4.7,0.2,53.8,0.2,0
67.6,0.2,300.6,0.2,21.1,28.1,0.2,200,22.7,2.3,0.1,405.9,0,14.9,0,0.1,558.7,0.1,0,8,0.1,1.7,7.5,0,0.1,0,0.6,2.5,1.8,5.1,0.2,55.7,0,4
