CO3,UV250,TDP,NO3NO2,Cl,Br,TSS,Ca,TDN,F,DIC,TPN,HCO3,TN,Mg,Si,TP,TSSD,Na,TOC,NH4,K,PH,NO2,OrthoP,Mn,TPC,DOC,SO4,Fe,TDS,UV280,ANC,waterTemp,dissolvedOxygenField,specificConductanceField
0,0.06,0.06,0.01,8.53,0,1,53.22,0.18,0.71,57.38,0.09,302.59,0.15,20.07,17.08,0.07,100,25.78,2.25,0.09,1.8,7.51,0,0.06,0.08,0.57,2.17,13.09,0,385.4,0.04,5.06,22.6,2.84,448.4
0,0.07,0,0.03,9.4,0,2,55.17,0.15,0.72,61.35,0.03,310.6,0.18,20.66,17.03,0,200,26.52,2.13,0.01,1.84,8.19,0,0.04,0.09,0.34,2.22,13.54,0.02,395.48,0.05,5.42,22.4,2.12,438.2
0,0.06,0.08,0.05,9.82,0,2,56.41,0.15,0.71,62.47,0.07,314.85,0.15,21.06,17.16,0.14,100,26.52,2.13,0.03,1.85,8.1,0.01,0.05,0.15,0.33,2.21,14.22,0.02,403.2,0.04,5.62,23,3.03,496
0,0.06,0.04,0.05,9.98,0,2,50.18,0.19,0.69,63.75,0.06,275.05,0.12,18.92,15.44,0.07,100,22.94,1.93,0.03,1.62,7.69,0.01,0.04,0.19,0.34,2.09,14.11,0,358.2,0.03,4.69,22.7,2.12,507
0,0.05,0.04,0.04,12.61,0,4.67,36.04,0.11,0.74,67.26,0.17,256.14,0.08,23.77,6.63,0.06,233.33,27.84,2.06,0.06,2.23,7.81,0.02,0.06,0.01,1.26,2.34,17.15,0,344.4,0.03,4.64,24.3,2.79,562
0,0.07,0.05,0.01,12.15,0,6,64.59,0.18,0.62,73.96,0.13,334.58,0.19,21.22,15.82,0.05,300,26,1.86,0.13,1.87,7.41,0.01,0.02,0.35,0.5,1.92,16.46,0.31,435.6,0.05,6.14,19.7,1.12,567
0,2.66,0.6,2.08,9.48,0,1164,20.62,3.88,0,15.83,0.08,95.61,5.71,7.83,9.06,1.08,58200,3.98,30.43,0.1,4.96,7.25,0.13,0.91,0.01,0.27,20.43,5.89,0.59,131.25,2.15,1.72,30.5,3.11,186.2
0,1,0.52,0.03,4.48,0,206,41.01,1.56,0,37.01,0.08,226.41,2.33,17.96,12.45,0.72,10300,4.75,26.29,0.21,7.04,7.39,0.02,0.56,0,0.26,24.25,5.47,0,272.15,0.72,3.95,25.3,0.44,298.6
0,0.51,0.34,0.53,9.25,0,16,43.99,1.25,0,38.14,0.1,211.59,1.51,16.37,13.94,0.36,800,10.14,13.96,0,5.39,7.67,0.19,0.35,0,0.38,14.88,19.26,0,279.52,0.35,3.65,26.3,1.3,360.9
0,0.24,0.18,5.11,11.15,0,14,43.17,5.11,1.45,85.71,0.14,305.57,5.01,34.2,18.71,0.25,700,27.8,6.77,0.21,4.81,7.47,0.14,0.14,0,0.41,6.72,45.66,0,439.28,0.16,5.23,24,1.34,757
0,0.24,0.19,3.66,10.68,0,4,74.11,3.64,1.49,87.57,0.11,402.15,3.84,32.36,16.75,0.2,200,27.19,6.59,0.22,4.65,7.45,0.11,0.17,0,0.39,6.61,35.07,0,540.64,0.16,6.79,23.8,0.93,699
0,0.29,0.18,0.3,14.47,0,22,50.86,0.47,0,97.45,0.09,362.48,0.92,35.38,13.2,0.18,1100,29.15,7.94,0.02,4.75,7.82,0.02,0.24,0,0.5,8.37,25.64,0,483.69,0.19,6.01,22.2,0.74,738
0,0.32,0.12,0.01,9.61,0,10,96.59,1.26,3.8,111.66,0.14,548.24,1.68,38.56,12.98,0.69,500,31.95,10.15,0.48,5.48,7.79,0.02,0.26,1.69,0.66,10.46,5.63,0,670.24,0.21,9.06,20.7,0.75,825
0,0.54,0.01,0.21,7.93,0,140,85.77,5.07,3.6,91,0.13,497.21,5.88,35.35,11.58,1.07,7000,29.21,13.9,2.4,6.83,7.87,0.11,0.47,0,0.48,13.74,6.14,0,617.45,0.39,8.52,21.9,2.06,700
0,0.25,0.25,-0.03,15.86,0,42,50.44,2.16,0,96.62,0.14,323.65,2.65,35.28,11.66,0.28,2100,27.07,8.22,1.2,4.34,7.95,0.07,0.06,0.03,0.33,7.86,20.03,0,493.24,0.17,5.42,14.5,1.11,695
0,0.16,0.1,3.21,8.42,0,12,55,2.63,1.45,56.52,0.01,288.47,2.66,21.76,14.1,0.15,600,21.18,5.21,0.07,1.92,8.06,0.03,0.15,0,0.32,5.49,24.34,0,395.67,0.1,4.85,15.1,9.35,506
0,0.16,0.1,4.05,3.76,0,10,60.19,3.73,0.74,55.65,0.1,319.54,3.89,22.84,13.88,0.11,500,22.43,5.31,0.07,1.98,8.03,0.06,0.11,0,0.3,5.46,25.52,0,414.26,0.11,5.92,12.8,8.1,539
0,0.15,0.04,0.7,9.38,0,24,29.17,0.84,0.69,28.34,0.14,141.53,0.95,11.26,11.48,0.4,1200,9.72,6.08,0.06,1.01,8.06,0.06,0.07,0,0.28,5.99,11.47,0,198.63,0.1,3.65,6.9,10.42,278
0,0.24,0.08,0.77,1.56,0,129.33,18.01,1.08,0.84,19.52,0.13,133.36,1.12,10.88,5.41,0.4,6466.67,10.2,6.87,0.09,1.53,7.91,0.04,0.08,0,0.39,6.76,12.36,0,166.14,0.16,2.45,5.9,10.83,195
0,0.23,0.05,0.63,1.38,0,166,19.19,0.99,0.34,18.23,0.07,97.08,1,6.63,9.96,0.85,8300,5.88,6.72,0.06,0.94,7.96,0,0.09,0,0.43,6.81,6.95,0,125.47,0.16,1.63,7.4,10.58,180.4
0,0.02,0.04,0.6,4.02,0,24,27.71,0.78,1.2,25.96,0.08,133.25,0.83,9.18,11.58,0.32,1200,8.54,5.65,0.08,0.89,8.18,0,0.1,0,0.3,5.6,9.61,0,177.69,0.02,2.73,13.1,9.38,238.4
0,0.27,0.09,0.18,4.94,0,880,15.29,0.6,0.1,13.75,0.08,70.18,1.26,4.66,8.21,2.27,44000,4.72,19.14,0.08,1.02,7.89,-0.14,0.09,0,0.41,7.96,5.07,0.01,98.63,0.19,1.33,8.9,9.84,136.5
0,0.12,0.06,0.51,7.27,0,5.33,33.38,0.69,2.72,32.62,0.1,152.77,0.7,11.37,12.97,0.14,266.67,10.62,4.52,0.07,1.01,8.16,-0.14,0.06,0,0.28,4.44,11.62,0,217.66,0.08,2.95,16.5,8.8,291.8
