agency_cd,site_no,parameter_cd,ts_id,month_nu,day_nu,begin_yr,end_yr,count_nu,max_va_yr,max_va,min_va_yr,min_va,mean_va,p05_va,p10_va,p20_va,p25_va,p50_va,p75_va,p80_va,p90_va,p95_va
USGS,9510200,60,5732,1,1,2016,2016,1,2016,0,2016,0,0,,,,,0,,,,
USGS,9510200,60,5732,1,2,2016,2016,1,2016,0,2016,0,0,,,,,0,,,,
USGS,9510200,60,5732,1,3,2016,2016,1,2016,0,2016,0,0,,,,,0,,,,
USGS,9510200,60,5732,1,4,2016,2016,1,2016,0,2016,0,0,,,,,0,,,,
USGS,9510200,60,5732,1,5,2016,2016,1,2016,0,2016,0,0,,,,,0,,,,
USGS,9510200,60,5732,1,6,2016,2016,1,2016,55.4,2016,55.4,55,,,,,55,,,,
USGS,9510200,60,5732,1,7,2016,2016,1,2016,347,2016,347,347,,,,,347,,,,
USGS,9510200,60,5732,1,8,2016,2016,1,2016,243,2016,243,243,,,,,243,,,,
USGS,9510200,60,5732,1,9,2016,2016,1,2016,90.3,2016,90.3,90,,,,,90,,,,
USGS,9510200,60,5732,1,10,2016,2016,1,2016,46.6,2016,46.6,47,,,,,47,,,,
USGS,9510200,60,5732,1,11,2016,2016,1,2016,48,2016,48,48,,,,,48,,,,
USGS,9510200,60,5732,1,12,2016,2016,1,2016,43,2016,43,43,,,,,43,,,,
USGS,9510200,60,5732,1,13,2016,2016,1,2016,38,2016,38,38,,,,,38,,,,
USGS,9510200,60,5732,1,14,2016,2016,1,2016,34,2016,34,34,,,,,34,,,,
USGS,9510200,60,5732,1,15,2016,2016,1,2016,30,2016,30,30,,,,,30,,,,
USGS,9510200,60,5732,1,16,2016,2016,1,2016,27,2016,27,27,,,,,27,,,,
USGS,9510200,60,5732,1,17,2016,2016,1,2016,24.5,2016,24.5,24,,,,,24,,,,
USGS,9510200,60,5732,1,18,2016,2016,1,2016,21,2016,21,21,,,,,21,,,,
USGS,9510200,60,5732,1,19,2016,2016,1,2016,19,2016,19,19,,,,,19,,,,
USGS,9510200,60,5732,1,20,2016,2016,1,2016,18.2,2016,18.2,18,,,,,18,,,,
USGS,9510200,60,5732,1,21,2016,2016,1,2016,16,2016,16,16,,,,,16,,,,
USGS,9510200,60,5732,1,22,2016,2016,1,2016,14.1,2016,14.1,14,,,,,14,,,,
USGS,9510200,60,5732,1,23,2016,2016,1,2016,11.7,2016,11.7,12,,,,,12,,,,
USGS,9510200,60,5732,1,24,2016,2016,1,2016,11,2016,11,11,,,,,11,,,,
USGS,9510200,60,5732,1,25,2016,2016,1,2016,10.1,2016,10.1,10,,,,,10,,,,
USGS,9510200,60,5732,1,26,2016,2016,1,2016,8.89,2016,8.89,8.9,,,,,8.9,,,,
USGS,9510200,60,5732,1,27,2016,2016,1,2016,8.32,2016,8.32,8.3,,,,,8.3,,,,
USGS,9510200,60,5732,1,28,2016,2016,1,2016,7.95,2016,7.95,8,,,,,8,,,,
USGS,9510200,60,5732,1,29,2016,2016,1,2016,7.71,2016,7.71,7.7,,,,,7.7,,,,
USGS,9510200,60,5732,1,30,2016,2016,1,2016,7.55,2016,7.55,7.6,,,,,7.6,,,,
USGS,9510200,60,5732,1,31,2016,2016,1,2016,7.47,2016,7.47,7.5,,,,,7.5,,,,
USGS,9510200,60,5732,2,1,2016,2016,1,2016,22.1,2016,22.1,22,,,,,22,,,,
USGS,9510200,60,5732,2,2,2016,2016,1,2016,23.4,2016,23.4,23,,,,,23,,,,
USGS,9510200,60,5732,2,3,2016,2016,1,2016,16.8,2016,16.8,17,,,,,17,,,,
USGS,9510200,60,5732,2,4,2016,2016,1,2016,13.9,2016,13.9,14,,,,,14,,,,
USGS,9510200,60,5732,2,5,2016,2016,1,2016,12.6,2016,12.6,13,,,,,13,,,,
USGS,9510200,60,5732,2,6,2016,2016,1,2016,11.2,2016,11.2,11,,,,,11,,,,
USGS,9510200,60,5732,2,7,2016,2016,1,2016,10.1,2016,10.1,10,,,,,10,,,,
USGS,9510200,60,5732,2,8,2016,2016,1,2016,8.98,2016,8.98,9,,,,,9,,,,
USGS,9510200,60,5732,2,9,2016,2016,1,2016,7.53,2016,7.53,7.5,,,,,7.5,,,,
USGS,9510200,60,5732,2,10,2016,2016,1,2016,6.71,2016,6.71,6.7,,,,,6.7,,,,
USGS,9510200,60,5732,2,11,2016,2016,1,2016,6.33,2016,6.33,6.3,,,,,6.3,,,,
USGS,9510200,60,5732,2,12,2016,2016,1,2016,6.02,2016,6.02,6,,,,,6,,,,
