agency_cd,site_no,parameter_cd,ts_id,month_nu,day_nu,begin_yr,end_yr,count_nu,max_va_yr,max_va,min_va_yr,min_va,mean_va,p05_va,p10_va,p20_va,p25_va,p50_va,p75_va,p80_va,p90_va,p95_va
5s,15s,5s,11n,3n,3n,6n,6n,8n,5n,12s,5n,12s,12s,12s,12s,12s,12s,12s,12s,12s,12s,12s
USGS,9510200,60,5732,1,1,2016,2020,5,2017,168,2016,0,52,,,0,0,0.03,130,153,,
USGS,9510200,60,5732,1,2,2016,2020,5,2017,232,2016,0,63,,,0,0,0.03,157,202,,
USGS,9510200,60,5732,1,3,2016,2020,5,2020,69.2,2016,0,25,,,0,0,0.03,62,66,,
USGS,9510200,60,5732,1,4,2016,2020,5,2020,59,2016,0,17,,,0,0,0.03,43,53,,
USGS,9510200,60,5732,1,5,2016,2020,5,2020,57.6,2016,0,15,,,0,0,0.03,37,49,,
USGS,9510200,60,5732,1,6,2016,2020,5,2016,55.4,2018,0,24,,,0.02,0.04,12,54,55,,
USGS,9510200,60,5732,1,7,2016,2020,5,2016,347,2018,0,81,,,0.01,0.03,8.8,199,288,,
USGS,9510200,60,5732,1,8,2016,2020,5,2016,243,2018,0,59,,,0.01,0.02,6.2,143,203,,
USGS,9510200,60,5732,1,9,2016,2020,5,2016,90.3,2018,0,27,,,0.01,0.02,4.5,65,80,,
USGS,9510200,60,5732,1,10,2016,2020,5,2016,46.6,2018,0,17,,,0.01,0.02,3.4,41,44,,
USGS,9510200,60,5732,1,11,2016,2020,5,2016,48,2018,0,17,,,0.01,0.03,2.7,41,45,,
USGS,9510200,60,5732,1,12,2016,2020,5,2016,43,2018,0,15,,,0.01,0.03,2,37,40,,
USGS,9510200,60,5732,1,13,2016,2020,5,2016,38,2018,0,13,,,0.01,0.03,1.6,32,36,,
USGS,9510200,60,5732,1,14,2016,2020,5,2016,34,2018,0,12,,,0.01,0.04,1.8,29,32,,
USGS,9510200,60,5732,1,15,2016,2020,5,2016,30,2018,0,11,,,0.01,0.04,3.2,26,28,,
USGS,9510200,60,5732,1,16,2016,2020,5,2016,27,2018,0,12,,,0.01,0.03,11,24,26,,
USGS,9510200,60,5732,1,17,2016,2020,5,2016,24.5,2018,0,13,,,0.01,0.03,20,23,24,,
USGS,9510200,60,5732,1,18,2016,2020,5,2016,21,2018,0,11,,,0.01,0.03,17,20,21,,
